# GitHub-rendered heading anchors (external slug oracle for linter rule L2).
# Fetched 2026-09-24 from github.com/archivetechie/remanence/blob/main/<file> at remanence commit e6bbbbd3; one row per ATX heading outside fences, in document order.
# columns: file<TAB>heading text<TAB>anchor
specs/in-progress/rem-parity-1-specification.md	Rem Tape Parity (REM-PARITY) Format	rem-tape-parity-rem-parity-format
specs/in-progress/rem-parity-1-specification.md	Version 1.0 — Specification	version-10--specification
specs/in-progress/rem-parity-1-specification.md	Status of This Document	status-of-this-document
specs/in-progress/rem-parity-1-specification.md	Abstract	abstract
specs/in-progress/rem-parity-1-specification.md	Table of Contents	table-of-contents
specs/in-progress/rem-parity-1-specification.md	1. Introduction	1-introduction
specs/in-progress/rem-parity-1-specification.md	1.1. Purpose and Design Goals	11-purpose-and-design-goals
specs/in-progress/rem-parity-1-specification.md	1.2. One Tape, Many Objects	12-one-tape-many-objects
specs/in-progress/rem-parity-1-specification.md	1.3. Relationship to Adjacent Components	13-relationship-to-adjacent-components
specs/in-progress/rem-parity-1-specification.md	1.4. Non-Goals	14-non-goals
specs/in-progress/rem-parity-1-specification.md	2. Conventions and Terminology	2-conventions-and-terminology
specs/in-progress/rem-parity-1-specification.md	2.1. Requirements Language	21-requirements-language
specs/in-progress/rem-parity-1-specification.md	2.2. Conformance Roles	22-conformance-roles
specs/in-progress/rem-parity-1-specification.md	2.3. Definitions	23-definitions
specs/in-progress/rem-parity-1-specification.md	2.4. Integer, Byte, and Text Conventions	24-integer-byte-and-text-conventions
specs/in-progress/rem-parity-1-specification.md	2.5. Constants	25-constants
specs/in-progress/rem-parity-1-specification.md	3. Tape Model and Address Spaces	3-tape-model-and-address-spaces
specs/in-progress/rem-parity-1-specification.md	3.1. Tape Files	31-tape-files
specs/in-progress/rem-parity-1-specification.md	3.2. Address Spaces	32-address-spaces
specs/in-progress/rem-parity-1-specification.md	3.3. Ordinal-to-Stripe Mapping	33-ordinal-to-stripe-mapping
specs/in-progress/rem-parity-1-specification.md	3.4. The Durable Boundary	34-the-durable-boundary
